
Analyzing odd numbers 1 to 65535 (k=16):

Decimal  Binary             Win After  Max Bits   Head Grow  Extra Zeros  End Dec  End Bin           
355      0000000101100011   2          10         1          5            25       0000000000011001  
357      0000000101100101   1          9          0          3            67       0000000001000011  
359      0000000101100111   3          10         1          1            607      0000001001011111  
361      0000000101101001   1          9          0          1            271      0000000100001111  
363      0000000101101011   2          10         1          1            409      0000000110011001  
365      0000000101101101   1          9          0          2            137      0000000010001001  
367      0000000101101111   4          11         2          1            931      0000001110100011  
369      0000000101110001   1          9          0          1            277      0000000100010101  
371      0000000101110011   2          10         1          2            209      0000000011010001  
373      0000000101110101   1          9          0          4            35       0000000000100011  
375      0000000101110111   3          10         1          2            317      0000000100111101  
377      0000000101111001   1          9          0          1            283      0000000100011011  
379      0000000101111011   2          10         1          1            427      0000000110101011  
381      0000000101111101   1          9          0          2            143      0000000010001111  
383      0000000101111111   7          13         4          5            205      0000000011001101  
385      0000000110000001   1          9          0          1            289      0000000100100001  
387      0000000110000011   2          10         1          3            109      0000000001101101  
389      0000000110000101   1          9          0          3            73       0000000001001001  
391      0000000110000111   3          10         1          1            661      0000001010010101  
393      0000000110001001   1          9          0          1            295      0000000100100111  
395      0000000110001011   2          10         1          1            445      0000000110111101  
397      0000000110001101   1          9          0          2            149      0000000010010101  
399      0000000110001111   4          11         2          3            253      0000000011111101  
401      0000000110010001   1          9          0          1            301      0000000100101101  
403      0000000110010011   2          10         1          2            227      0000000011100011  
405      0000000110010101   1          9          0          5            19       0000000000010011  
407      0000000110010111   3          10         1          5            43       0000000000101011  
409      0000000110011001   1          9          0          1            307      0000000100110011  
411      0000000110011011   2          10         1          1            463      0000000111001111  
413      0000000110011101   1          9          0          2            155      0000000010011011  
415      0000000110011111   5          12         3          1            1579     0000011000101011  
417      0000000110100001   1          9          0          1            313      0000000100111001  
419      0000000110100011   2          10         1          4            59       0000000000111011  
421      0000000110100101   1          9          0          3            79       0000000001001111  
423      0000000110100111   3          10         1          1            715      0000001011001011  
425      0000000110101001   1          9          0          1            319      0000000100111111  
427      0000000110101011   2          10         1          1            481      0000000111100001  
429      0000000110101101   1          9          0          2            161      0000000010100001  
431      0000000110101111   4          11         2          1            1093     0000010001000101  
433      0000000110110001   1          9          0          1            325      0000000101000101  
435      0000000110110011   2          10         1          2            245      0000000011110101  
437      0000000110110101   1          9          0          4            41       0000000000101001  
439      0000000110110111   3          10         1          2            371      0000000101110011  
441      0000000110111001   1          9          0          1            331      0000000101001011  
443      0000000110111011   2          10         1          1            499      0000000111110011  
445      0000000110111101   1          9          0          2            167      0000000010100111  
447      0000000110111111   6          12         3          1            2551     0000100111110111  
449      0000000111000001   1          9          0          1            337      0000000101010001  
451      0000000111000011   2          10         1          3            127      0000000001111111  
453      0000000111000101   1          9          0          3            85       0000000001010101  
455      0000000111000111   3          11         2          1            769      0000001100000001  
457      0000000111001001   1          9          0          1            343      0000000101010111  
459      0000000111001011   2          10         1          1            517      0000001000000101  
461      0000000111001101   1          9          0          2            173      0000000010101101  
463      0000000111001111   4          11         2          2            587      0000001001001011  
465      0000000111010001   1          9          0          1            349      0000000101011101  
467      0000000111010011   2          10         1          2            263      0000000100000111  
469      0000000111010101   1          9          0          6            11       0000000000001011  
471      0000000111010111   3          11         2          3            199      0000000011000111  
473      0000000111011001   1          9          0          1            355      0000000101100011  
475      0000000111011011   2          10         1          1            535      0000001000010111  
477      0000000111011101   1          9          0          2            179      0000000010110011  
479      0000000111011111   5          12         3          2            911      0000001110001111  
481      0000000111100001   1          9          0          1            361      0000000101101001  
483      0000000111100011   2          10         1          6            17       0000000000010001  
485      0000000111100101   1          9          0          3            91       0000000001011011  
487      0000000111100111   3          11         2          1            823      0000001100110111  
489      0000000111101001   1          9          0          1            367      0000000101101111  
491      0000000111101011   2          10         1          1            553      0000001000101001  
493      0000000111101101   1          9          0          2            185      0000000010111001  
495      0000000111101111   4          11         2          1            1255     0000010011100111  
497      0000000111110001   1          9          0          1            373      0000000101110101  
499      0000000111110011   2          10         1          2            281      0000000100011001  
501      0000000111110101   1          9          0          4            47       0000000000101111  
503      0000000111110111   3          11         2          2            425      0000000110101001  
505      0000000111111001   1          9          0          1            379      0000000101111011  
507      0000000111111011   2          10         1          1            571      0000001000111011  
509      0000000111111101   1          9          0          2            191      0000000010111111  
511      0000000111111111   9          14         5          1            9841     0010011001110001  
513      0000001000000001   1          10         0          1            385      0000000110000001  
515      0000001000000011   2          10         0          3            145      0000000010010001  
517      0000001000000101   1          10         0          3            97       0000000001100001  
519      0000001000000111   3          11         1          1            877      0000001101101101  
521      0000001000001001   1          10         0          1            391      0000000110000111  
523      0000001000001011   2          10         0          1            589      0000001001001101  
525      0000001000001101   1          10         0          2            197      0000000011000101  
527      0000001000001111   4          11         1          4            167      0000000010100111  
529      0000001000010001   1          10         0          1            397      0000000110001101  
531      0000001000010011   2          10         0          2            299      0000000100101011  
533      0000001000010101   1          10         0          5            25       0000000000011001  
535      0000001000010111   3          11         1          4            113      0000000001110001  
537      0000001000011001   1          10         0          1            403      0000000110010011  
539      0000001000011011   2          10         0          1            607      0000001001011111  
541      0000001000011101   1          10         0          2            203      0000000011001011  
543      0000001000011111   5          12         2          1            2065     0000100000010001  
545      0000001000100001   1          10         0          1            409      0000000110011001  
547      0000001000100011   2          10         0          4            77       0000000001001101  
549      0000001000100101   1          10         0          3            103      0000000001100111  
551      0000001000100111   3          11         1          1            931      0000001110100011  
553      0000001000101001   1          10         0          1            415      0000000110011111  
555      0000001000101011   2          10         0          1            625      0000001001110001  
557      0000001000101101   1          10         0          2            209      0000000011010001  
559      0000001000101111   4          11         1          1            1417     0000010110001001  
561      0000001000110001   1          10         0          1            421      0000000110100101  
563      0000001000110011   2          10         0          2            317      0000000100111101  
565      0000001000110101   1          10         0          4            53       0000000000110101  
567      0000001000110111   3          11         1          2            479      0000000111011111  
569      0000001000111001   1          10         0          1            427      0000000110101011  
571      0000001000111011   2          10         0          1            643      0000001010000011  
573      0000001000111101   1          10         0          2            215      0000000011010111  
575      0000001000111111   6          13         3          5            205      0000000011001101  
577      0000001001000001   1          10         0          1            433      0000000110110001  
579      0000001001000011   2          10         0          3            163      0000000010100011  
581      0000001001000101   1          10         0          3            109      0000000001101101  
583      0000001001000111   3          11         1          1            985      0000001111011001  
585      0000001001001001   1          10         0          1            439      0000000110110111  
587      0000001001001011   2          10         0          1            661      0000001010010101  
589      0000001001001101   1          10         0          2            221      0000000011011101  
591      0000001001001111   4          11         1          2            749      0000001011101101  
593      0000001001010001   1          10         0          1            445      0000000110111101  
595      0000001001010011   2          10         0          2            335      0000000101001111  
597      0000001001010101   1          10         0          7            7        0000000000000111  
599      0000001001010111   3          11         1          3            253      0000000011111101  
601      0000001001011001   1          10         0          1            451      0000000111000011  
603      0000001001011011   2          10         0          1            679      0000001010100111  
605      0000001001011101   1          10         0          2            227      0000000011100011  
607      0000001001011111   5          12         2          3            577      0000001001000001  
609      0000001001100001   1          10         0          1            457      0000000111001001  
611      0000001001100011   2          10         0          5            43       0000000000101011  
613      0000001001100101   1          10         0          3            115      0000000001110011  
615      0000001001100111   3          11         1          1            1039     0000010000001111  
617      0000001001101001   1          10         0          1            463      0000000111001111  
